frame,n_seg,n_tra,one_to_one,tra_unmatched,seg_unmatched,ambiguous
12,2,57,2,55,0,0
13,59,60,59,1,0,0
14,4,61,4,57,0,0
15,8,62,8,54,0,0
20,11,64,11,53,0,0
21,3,66,3,63,0,0
22,9,67,9,58,0,0
23,12,70,12,58,0,0
25,5,69,5,64,0,0
29,7,72,7,65,0,0
38,14,82,14,68,0,0
39,13,83,13,70,0,0
40,9,86,9,77,0,0
44,14,97,14,83,0,0
50,1,109,1,108,0,0
51,3,110,3,107,0,0
52,110,113,110,3,0,0
53,4,113,4,109,0,0
54,12,113,12,101,0,0
55,19,114,19,95,0,0
62,21,117,21,96,0,0
76,35,125,35,90,0,0
77,30,124,30,94,0,0
78,1,126,1,125,0,0
79,26,126,26,100,0,0
80,25,128,25,103,0,0
81,2,127,2,125,0,0
88,32,134,32,102,0,0
