frame,n_seg,n_tra,one_to_one,tra_unmatched,seg_unmatched,ambiguous
58,1,1,1,0,0,0
108,1,1,1,0,0,0
126,1,1,1,0,0,0
175,1,1,1,0,0,0
183,1,1,1,0,0,0
218,2,2,2,0,0,0
332,2,2,2,0,0,0
347,2,2,2,0,0,0
359,2,2,2,0,0,0
402,2,2,2,0,0,0
473,2,2,2,0,0,0
475,2,2,2,0,0,0
528,2,2,2,0,0,0
659,3,3,3,0,0,0
701,4,4,4,0,0,0
713,4,4,4,0,0,0
731,4,4,4,0,0,0
760,4,4,4,0,0,0
806,4,4,4,0,0,0
838,4,4,4,0,0,0
868,4,4,4,0,0,0
871,4,4,4,0,0,0
902,4,4,4,0,0,0
930,4,4,4,0,0,0
932,4,4,4,0,0,0
965,4,4,4,0,0,0
988,4,4,4,0,0,0
990,4,4,4,0,0,0
1122,5,5,5,0,0,0
1162,7,7,7,0,0,0
1170,7,7,7,0,0,0
1199,8,8,8,0,0,0
1219,8,8,8,0,0,0
1357,8,8,8,0,0,0
1369,8,8,8,0,0,0
1397,8,8,8,0,0,0
1460,8,8,8,0,0,0
1468,8,8,8,0,0,0
1471,8,8,8,0,0,0
1476,8,8,8,0,0,0
1489,8,8,8,0,0,0
1490,8,8,8,0,0,0
1528,8,8,8,0,0,0
1558,8,8,8,0,0,0
1567,9,9,9,0,0,0
1583,9,9,9,0,0,0
1618,10,10,10,0,0,0
1707,12,12,12,0,0,0
1743,12,12,12,0,0,0
