issue,track,parent,gap,n_children
parent_child_gap,16,15.0,1.0,
parent_child_gap,51,35.0,1.0,
parent_child_gap,60,59.0,1.0,
parent_child_gap,62,60.0,1.0,
parent_child_gap,65,101.0,1.0,
parent_child_gap,68,97.0,1.0,
parent_child_gap,71,111.0,6.0,
parent_child_gap,83,81.0,1.0,
parent_child_gap,88,51.0,9.0,
parent_child_gap,96,102.0,2.0,
parent_child_gap,97,99.0,1.0,
parent_child_gap,99,100.0,1.0,
parent_child_gap,100,65.0,3.0,
parent_child_gap,101,103.0,2.0,
parent_child_gap,102,71.0,7.0,
parent_child_gap,103,107.0,2.0,
parent_child_gap,107,108.0,1.0,
parent_child_gap,108,61.0,1.0,
parent_child_gap,109,117.0,3.0,
parent_child_gap,111,112.0,3.0,
parent_child_gap,112,54.0,2.0,
parent_child_gap,116,56.0,3.0,
parent_child_gap,117,119.0,3.0,
parent_child_gap,118,62.0,1.0,
parent_child_gap,119,26.0,3.0,
parent_child_gap,124,29.0,2.0,
children_not_2,15,,,1.0
children_not_2,35,,,1.0
children_not_2,59,,,1.0
children_not_2,60,,,1.0
children_not_2,101,,,1.0
children_not_2,97,,,1.0
children_not_2,111,,,1.0
children_not_2,81,,,1.0
children_not_2,51,,,1.0
children_not_2,102,,,1.0
children_not_2,99,,,1.0
children_not_2,100,,,1.0
children_not_2,65,,,1.0
children_not_2,103,,,1.0
children_not_2,71,,,1.0
children_not_2,107,,,1.0
children_not_2,108,,,1.0
children_not_2,61,,,1.0
children_not_2,117,,,1.0
children_not_2,112,,,1.0
children_not_2,54,,,1.0
children_not_2,56,,,1.0
children_not_2,119,,,1.0
children_not_2,62,,,1.0
children_not_2,26,,,1.0
children_not_2,29,,,1.0
