frame,n_seg,n_tra,one_to_one,tra_unmatched,seg_unmatched,ambiguous
7,1,1,1,0,0,0
26,1,1,1,0,0,0
76,1,1,1,0,0,0
88,1,1,1,0,0,0
121,1,1,1,0,0,0
126,1,1,1,0,0,0
130,1,1,1,0,0,0
137,1,1,1,0,0,0
260,1,1,1,0,0,0
280,1,1,1,0,0,0
294,1,1,1,0,0,0
296,1,1,1,0,0,0
327,1,1,1,0,0,0
343,1,1,1,0,0,0
363,1,1,1,0,0,0
377,1,1,1,0,0,0
381,1,1,1,0,0,0
385,1,1,1,0,0,0
414,1,1,1,0,0,0
428,1,1,1,0,0,0
443,1,1,1,0,0,0
445,1,1,1,0,0,0
496,1,1,1,0,0,0
624,2,2,2,0,0,0
717,4,4,4,0,0,0
757,4,4,4,0,0,0
765,4,4,4,0,0,0
826,6,6,6,0,0,0
854,6,6,6,0,0,0
875,5,5,5,0,0,0
892,5,5,5,0,0,0
893,5,5,5,0,0,0
984,7,7,7,0,0,0
1020,9,9,9,0,0,0
1088,10,10,10,0,0,0
1106,10,10,10,0,0,0
1142,10,10,10,0,0,0
1144,10,10,10,0,0,0
1162,10,10,10,0,0,0
1197,11,11,11,0,0,0
1223,15,15,15,0,0,0
1232,15,15,15,0,0,0
1237,15,15,15,0,0,0
1244,15,15,15,0,0,0
1254,15,15,15,0,0,0
1257,15,15,15,0,0,0
1278,15,15,15,0,0,0
1286,16,16,16,0,0,0
1293,17,17,17,0,0,0
1347,19,19,19,0,0,0
