frame,n_seg,n_tra,one_to_one,tra_unmatched,seg_unmatched,ambiguous
0,2,2,2,0,0,0
1,2,2,2,0,0,0
2,2,2,2,0,0,0
3,2,2,2,0,0,0
4,2,2,2,0,0,0
5,2,2,2,0,0,0
6,2,2,2,0,0,0
7,2,2,2,0,0,0
8,2,2,2,0,0,0
9,2,2,2,0,0,0
10,2,2,2,0,0,0
11,2,2,2,0,0,0
12,2,2,2,0,0,0
13,2,2,2,0,0,0
14,2,2,2,0,0,0
15,2,2,2,0,0,0
16,2,2,2,0,0,0
17,2,2,2,0,0,0
18,2,2,2,0,0,0
19,2,2,2,0,0,0
20,2,2,2,0,0,0
21,2,2,2,0,0,0
22,2,2,2,0,0,0
23,2,2,2,0,0,0
24,2,2,2,0,0,0
25,2,2,2,0,0,0
26,2,2,2,0,0,0
27,2,2,2,0,0,0
28,2,2,2,0,0,0
29,2,2,2,0,0,0
30,2,2,2,0,0,0
31,2,2,2,0,0,0
32,2,2,2,0,0,0
33,2,2,2,0,0,0
34,2,2,2,0,0,0
35,2,2,2,0,0,0
36,2,2,2,0,0,0
37,2,2,2,0,0,0
38,2,2,2,0,0,0
39,2,2,2,0,0,0
40,2,2,2,0,0,0
41,2,2,2,0,0,0
42,2,2,2,0,0,0
43,2,2,2,0,0,0
44,2,2,2,0,0,0
45,2,2,2,0,0,0
46,2,2,2,0,0,0
47,2,2,2,0,0,0
48,2,2,2,0,0,0
49,2,2,2,0,0,0
50,2,2,2,0,0,0
51,2,2,2,0,0,0
52,3,3,3,0,0,0
53,3,3,3,0,0,0
54,3,3,3,0,0,0
55,3,3,3,0,0,0
56,3,3,3,0,0,0
57,3,3,3,0,0,0
58,3,3,3,0,0,0
59,3,3,3,0,0,0
60,3,3,3,0,0,0
61,3,3,3,0,0,0
62,3,3,3,0,0,0
63,3,3,3,0,0,0
64,3,3,3,0,0,0
65,3,3,3,0,0,0
66,3,3,3,0,0,0
67,3,3,3,0,0,0
68,3,3,3,0,0,0
69,3,3,3,0,0,0
70,3,3,3,0,0,0
71,3,3,3,0,0,0
72,3,3,3,0,0,0
73,3,3,3,0,0,0
74,4,4,4,0,0,0
75,4,4,4,0,0,0
76,4,4,4,0,0,0
77,4,4,4,0,0,0
78,4,4,4,0,0,0
79,4,4,4,0,0,0
80,4,4,4,0,0,0
81,4,4,4,0,0,0
82,4,4,4,0,0,0
83,4,4,4,0,0,0
84,4,4,4,0,0,0
85,4,4,4,0,0,0
86,4,4,4,0,0,0
87,4,4,4,0,0,0
88,4,4,4,0,0,0
89,4,4,4,0,0,0
90,4,4,4,0,0,0
91,4,4,4,0,0,0
92,4,4,4,0,0,0
93,4,4,4,0,0,0
94,4,4,4,0,0,0
95,4,4,4,0,0,0
96,4,4,4,0,0,0
97,4,4,4,0,0,0
98,4,4,4,0,0,0
99,4,4,4,0,0,0
100,4,4,4,0,0,0
101,4,4,4,0,0,0
102,4,4,4,0,0,0
103,4,4,4,0,0,0
104,4,4,4,0,0,0
105,4,4,4,0,0,0
106,4,4,4,0,0,0
107,4,4,4,0,0,0
108,4,4,4,0,0,0
109,4,4,4,0,0,0
110,4,4,4,0,0,0
111,4,4,4,0,0,0
112,4,4,4,0,0,0
113,4,4,4,0,0,0
114,4,4,4,0,0,0
115,4,4,4,0,0,0
116,4,4,4,0,0,0
117,4,4,4,0,0,0
118,4,4,4,0,0,0
119,4,4,4,0,0,0
120,4,4,4,0,0,0
121,4,4,4,0,0,0
122,4,4,4,0,0,0
123,5,5,5,0,0,0
124,5,5,5,0,0,0
125,5,5,5,0,0,0
126,5,5,5,0,0,0
127,5,5,5,0,0,0
128,5,5,5,0,0,0
129,5,5,5,0,0,0
130,5,5,5,0,0,0
131,5,5,5,0,0,0
132,5,5,5,0,0,0
133,6,6,6,0,0,0
134,6,6,6,0,0,0
135,6,6,6,0,0,0
136,6,6,6,0,0,0
137,6,6,6,0,0,0
138,6,6,6,0,0,0
139,6,6,6,0,0,0
140,6,6,6,0,0,0
141,6,6,6,0,0,0
142,6,6,6,0,0,0
143,6,6,6,0,0,0
144,6,6,6,0,0,0
145,6,6,6,0,0,0
146,6,6,6,0,0,0
147,7,7,7,0,0,0
148,7,7,7,0,0,0
149,7,7,7,0,0,0
150,7,7,7,0,0,0
151,7,7,7,0,0,0
152,7,7,7,0,0,0
153,7,7,7,0,0,0
154,7,7,7,0,0,0
155,7,7,7,0,0,0
156,7,7,7,0,0,0
157,7,7,7,0,0,0
158,7,7,7,0,0,0
159,7,7,7,0,0,0
160,7,7,7,0,0,0
161,7,7,7,0,0,0
