frame,n_seg,n_tra,one_to_one,tra_unmatched,seg_unmatched,ambiguous
0,8,8,8,0,0,0
1,8,8,8,0,0,0
2,8,8,8,0,0,0
3,8,8,8,0,0,0
4,8,8,8,0,0,0
5,8,8,8,0,0,0
6,8,8,8,0,0,0
7,8,8,8,0,0,0
8,8,8,8,0,0,0
9,8,8,8,0,0,0
10,8,8,8,0,0,0
11,8,8,8,0,0,0
12,8,8,8,0,0,0
13,8,8,8,0,0,0
14,8,8,8,0,0,0
15,9,9,9,0,0,0
16,9,9,9,0,0,0
17,9,9,9,0,0,0
18,9,9,9,0,0,0
19,9,9,9,0,0,0
20,9,9,9,0,0,0
21,9,9,9,0,0,0
22,9,9,9,0,0,0
23,9,9,9,0,0,0
24,10,10,10,0,0,0
25,11,11,11,0,0,0
26,11,11,11,0,0,0
27,11,11,11,0,0,0
28,12,12,12,0,0,0
29,13,13,13,0,0,0
30,13,13,13,0,0,0
31,13,13,13,0,0,0
32,13,13,13,0,0,0
33,13,13,13,0,0,0
34,13,13,13,0,0,0
35,13,13,13,0,0,0
36,13,13,13,0,0,0
37,13,13,13,0,0,0
38,13,13,13,0,0,0
39,13,13,13,0,0,0
40,13,13,13,0,0,0
41,13,13,13,0,0,0
42,13,13,13,0,0,0
43,13,13,13,0,0,0
44,13,13,13,0,0,0
45,13,13,13,0,0,0
46,13,13,13,0,0,0
47,14,14,14,0,0,0
48,14,14,14,0,0,0
49,15,15,15,0,0,0
50,15,15,15,0,0,0
51,15,15,15,0,0,0
52,15,15,15,0,0,0
53,15,15,15,0,0,0
54,15,15,15,0,0,0
55,15,15,15,0,0,0
56,15,15,15,0,0,0
57,15,15,15,0,0,0
58,15,15,15,0,0,0
59,15,15,15,0,0,0
60,16,16,16,0,0,0
61,16,16,16,0,0,0
62,16,16,16,0,0,0
63,16,16,16,0,0,0
64,16,16,16,0,0,0
65,16,16,16,0,0,0
66,16,16,16,0,0,0
67,16,16,16,0,0,0
68,16,16,16,0,0,0
69,17,17,17,0,0,0
70,17,17,17,0,0,0
71,17,17,17,0,0,0
72,17,17,17,0,0,0
73,18,18,18,0,0,0
74,19,19,19,0,0,0
75,19,19,19,0,0,0
76,19,19,19,0,0,0
77,19,19,19,0,0,0
78,19,19,19,0,0,0
79,19,19,19,0,0,0
80,20,20,20,0,0,0
81,20,20,20,0,0,0
82,20,20,20,0,0,0
83,24,24,24,0,0,0
84,24,24,24,0,0,0
85,26,26,26,0,0,0
86,26,26,26,0,0,0
87,27,27,27,0,0,0
88,27,27,27,0,0,0
89,27,27,27,0,0,0
90,27,27,27,0,0,0
91,27,27,27,0,0,0
92,27,27,27,0,0,0
93,27,27,27,0,0,0
94,27,27,27,0,0,0
95,27,27,27,0,0,0
96,28,28,28,0,0,0
97,28,28,28,0,0,0
98,28,28,28,0,0,0
99,28,28,28,0,0,0
100,29,29,29,0,0,0
101,29,29,29,0,0,0
102,29,29,29,0,0,0
103,30,30,30,0,0,0
104,31,31,31,0,0,0
105,31,31,31,0,0,0
106,32,32,32,0,0,0
107,32,32,32,0,0,0
108,32,32,32,0,0,0
109,32,32,32,0,0,0
110,32,32,32,0,0,0
111,32,32,32,0,0,0
112,32,32,32,0,0,0
113,32,32,32,0,0,0
114,32,32,32,0,0,0
115,32,32,32,0,0,0
116,32,32,32,0,0,0
117,32,32,32,0,0,0
118,32,32,32,0,0,0
119,31,31,31,0,0,0
120,31,31,31,0,0,0
121,31,31,31,0,0,0
122,31,31,31,0,0,0
123,31,31,31,0,0,0
124,31,31,31,0,0,0
125,31,31,31,0,0,0
126,32,32,32,0,0,0
127,32,32,32,0,0,0
128,31,31,31,0,0,0
129,32,32,32,0,0,0
130,32,32,32,0,0,0
131,32,32,32,0,0,0
132,37,37,37,0,0,0
133,38,38,38,0,0,0
134,40,40,40,0,0,0
135,39,39,39,0,0,0
136,41,41,41,0,0,0
137,42,42,42,0,0,0
138,42,42,42,0,0,0
139,43,43,43,0,0,0
140,45,45,45,0,0,0
141,47,47,47,0,0,0
142,48,48,48,0,0,0
143,51,51,51,0,0,0
144,51,51,51,0,0,0
145,52,52,52,0,0,0
146,52,52,52,0,0,0
147,52,52,52,0,0,0
148,52,52,52,0,0,0
149,54,54,54,0,0,0
