dataset,sequence_id,n_frames,n_marker_frames,n_mask_frames,shapes,dtypes,image_bytes,n_observations,n_tracks,n_root_tracks,n_binary_divisions,issue_marker_without_image,issue_shape_mismatch,issue_marker_dtype_not_uint,issue_start_after_end,issue_parent_missing,issue_cycle,issue_child_overlaps_parent,issue_parent_child_gap,issue_children_not_2,issue_marker_id_not_in_table,issue_marker_outside_span,issue_missing_marker_in_span,end_video_end,end_division,end_near_border,end_unknown_end,start_child,start_root_at_start,start_late_root_near_border,start_late_root_interior,seg_n_seg,seg_n_tra,seg_one_to_one,seg_tra_unmatched,seg_seg_unmatched,seg_ambiguous
hela,1,92,92,28,"['(700, 1100)']",['uint16'],83474786,8639,265,77,94,0,0,0,0,0,0,0,0,0,0,0,0,137,94,21.0,13.0,188,43,23.0,11.0,491,2675,491,2184,0,0
hela,2,92,92,8,"['(700, 1100)']",['uint16'],100111840,25420,674,252,208,0,0,0,0,0,0,0,3,4,0,0,0,363,212,75.0,24.0,422,125,92.0,35.0,895,2488,895,1593,0,0
hsc,1,1764,1764,49,"['(1010, 1010)']",['uint8'],901274316,8675,23,1,11,0,0,0,0,0,0,0,0,0,0,0,0,12,11,,,22,1,,,255,255,255,0,0,0
hsc,2,1764,1764,8,"['(1010, 1010)']",['uint8'],786422226,64503,317,2,157,0,0,0,0,0,0,0,1,1,0,0,0,159,158,,,315,2,,,309,309,309,0,0,0
musc,1,1376,1376,50,"['(1036, 1070)']",['uint8'],682868250,5411,71,1,22,0,0,0,0,0,0,0,26,26,0,0,0,23,48,,,70,1,,,217,217,217,0,0,0
musc,2,1376,1376,50,"['(1036, 1070)']",['uint8'],621518070,7295,48,1,22,0,0,0,0,0,0,0,3,3,0,0,0,22,25,,1.0,47,1,,,298,298,298,0,0,0
one_in_a_million,0,800,800,800,"['(1094, 938)']",['uint8'],821180800,238364,4918,22,2448,0,0,0,0,0,0,0,0,0,0,0,0,1434,2448,1013.0,23.0,4896,2,16.0,4.0,238364,238364,238364,0,0,0
one_in_a_million,1,800,800,800,"['(1094, 940)']",['uint8'],822931200,292070,6137,31,3053,0,0,0,0,0,0,0,0,0,0,0,0,1548,3053,1485.0,51.0,6106,2,20.0,9.0,292070,292070,292070,0,0,0
one_in_a_million,2,800,800,800,"['(1104, 966)']",['uint8'],853414400,327832,6884,28,3428,0,0,0,0,0,0,0,0,0,0,0,0,1556,3428,1794.0,106.0,6856,3,17.0,8.0,327832,327832,327832,0,0,0
one_in_a_million,3,800,800,800,"['(1104, 948)']",['uint8'],837516800,292995,6184,55,3063,0,0,0,0,0,0,0,0,1,0,0,0,1528,3064,1529.0,63.0,6129,3,33.0,19.0,292995,292995,292995,0,0,0
one_in_a_million,4,800,800,800,"['(1092, 946)']",['uint8'],826668800,264011,5740,52,2844,0,0,0,0,0,0,0,0,0,0,0,0,1553,2844,1324.0,19.0,5688,2,42.0,8.0,264011,264011,264011,0,0,0
sim_plus,1,65,65,65,"['(690, 628)']",['uint16'],25410174,2607,95,36,28,0,0,0,0,0,0,0,0,3,0,0,0,45,31,15.0,4.0,59,30,1.0,5.0,2607,2607,2607,0,0,0
sim_plus,2,150,150,150,"['(773, 739)']",['uint16'],64250500,3371,107,17,44,0,0,0,0,0,0,0,0,2,0,0,0,54,46,5.0,2.0,90,8,7.0,2.0,3371,3371,3371,0,0,0
