dataset,split,baseline,schedule_id,sequence_id,acc,windows,n
hela,domain_adapt,chained_lap,ends,HeLa-01,0.6839376911330861,3,301
hela,domain_adapt,chained_lap,s1,HeLa-01,0.960310076875475,3,301
hela,domain_adapt,chained_lap_rc,ends,HeLa-01,0.6807930370450358,3,301
hela,domain_adapt,chained_lap_rc,s1,HeLa-01,0.9192523711231738,3,301
hela,domain_adapt,chained_nearest,ends,HeLa-01,0.7699737103318811,3,301
hela,domain_adapt,chained_nearest,s1,HeLa-01,0.9629985726883712,3,301
hela,domain_adapt,chained_nearest_rc,ends,HeLa-01,0.692779132177917,3,301
hela,domain_adapt,chained_nearest_rc,s1,HeLa-01,0.8357691769907952,3,301
hela,domain_adapt,nearest_anchor,ends,HeLa-01,0.7699737103318811,3,301
hela,domain_adapt,nearest_anchor,s1,HeLa-01,0.7699737103318811,3,301
hela,domain_adapt,nearest_anchor_rc,ends,HeLa-01,0.692779132177917,3,301
hela,domain_adapt,nearest_anchor_rc,s1,HeLa-01,0.692779132177917,3,301
hela,domain_test,chained_lap,ends,HeLa-02,0.6661763765873355,3,839
hela,domain_test,chained_lap,s1,HeLa-02,0.9650266599581668,3,839
hela,domain_test,chained_lap_rc,ends,HeLa-02,0.5337759677485705,3,839
hela,domain_test,chained_lap_rc,s1,HeLa-02,0.9553519589136027,3,839
hela,domain_test,chained_nearest,ends,HeLa-02,0.6619579009989969,3,839
hela,domain_test,chained_nearest,s1,HeLa-02,0.952445153267071,3,839
hela,domain_test,chained_nearest_rc,ends,HeLa-02,0.5178117949350826,3,839
hela,domain_test,chained_nearest_rc,s1,HeLa-02,0.9324842650870048,3,839
hela,domain_test,nearest_anchor,ends,HeLa-02,0.6619579009989969,3,839
hela,domain_test,nearest_anchor,s1,HeLa-02,0.6619579009989969,3,839
hela,domain_test,nearest_anchor_rc,ends,HeLa-02,0.5178117949350826,3,839
hela,domain_test,nearest_anchor_rc,s1,HeLa-02,0.5178117949350826,3,839
hsc,domain_adapt,chained_lap,ends,HSC-01,0.08333333333333333,1,12
hsc,domain_adapt,chained_lap,s1,HSC-01,0.5833333333333334,1,12
hsc,domain_adapt,chained_lap_rc,ends,HSC-01,0.08333333333333333,1,12
hsc,domain_adapt,chained_lap_rc,s1,HSC-01,0.75,1,12
