baseline,horizon_frames,schedule_id,count_MAE
chained_lap,33,s1,0.38140516536985336
chained_lap,33,s2,0.4483182726138003
chained_lap,33,s4,0.5564801777238937
chained_lap,33,s8,0.648640665707588
chained_lap,33,s16,0.6495666986015056
chained_lap,33,s32,0.553351559089389
chained_lap,33,ends,0.5509873042688318
chained_lap,33,rand1,0.6218067175043434
chained_lap,33,rand3,0.6284554327345223
chained_lap,66,s1,0.7287201290703249
chained_lap,66,s2,0.8041370366193329
chained_lap,66,s4,0.9475850125844719
chained_lap,66,s8,1.1581493102472542
chained_lap,66,s16,1.242077735758849
chained_lap,66,s32,1.0783928180152316
chained_lap,66,s64,0.6732790320633456
chained_lap,66,ends,0.6556335532519973
chained_lap,66,rand1,0.9461777748536522
chained_lap,66,rand3,1.0708652743045532
chained_lap,132,s1,1.697954899320226
chained_lap,132,s2,1.8005208450451105
chained_lap,132,s4,2.037775185591747
chained_lap,132,s8,2.601338156319848
chained_lap,132,s16,3.041227976803646
chained_lap,132,s32,2.7234469593675312
chained_lap,132,s64,1.4561749085090259
chained_lap,132,s128,3.0290647514850564
chained_lap,132,ends,3.113237002479263
chained_lap,132,rand1,2.68822502856228
chained_lap,132,rand3,2.468045934388857
chained_lap_rc,33,s1,0.3755972873012205
chained_lap_rc,33,s2,0.43836167393057457
chained_lap_rc,33,s4,0.5304138366091631
chained_lap_rc,33,s8,0.5743690649249106
chained_lap_rc,33,s16,0.5560754928863856
chained_lap_rc,33,s32,0.49751335454853907
chained_lap_rc,33,ends,0.4944457497969642
chained_lap_rc,33,rand1,0.5454376863543029
chained_lap_rc,33,rand3,0.5568880657970342
chained_lap_rc,66,s1,0.7226381255900105
chained_lap_rc,66,s2,0.7857478741783783
chained_lap_rc,66,s4,0.899155172267821
chained_lap_rc,66,s8,1.000827167834211
chained_lap_rc,66,s16,0.9683109659432667
chained_lap_rc,66,s32,0.8490507847091484
chained_lap_rc,66,s64,0.662429591581869
chained_lap_rc,66,ends,0.6456841815848554
chained_lap_rc,66,rand1,0.7959533189979331
chained_lap_rc,66,rand3,0.8771892302952115
chained_lap_rc,132,s1,1.6772981338580681
chained_lap_rc,132,s2,1.716420714696163
chained_lap_rc,132,s4,1.8751630486459976
chained_lap_rc,132,s8,2.035909559782701
chained_lap_rc,132,s16,2.07420871762081
chained_lap_rc,132,s32,1.8570869105683285
chained_lap_rc,132,s64,1.4775654910595288
chained_lap_rc,132,s128,1.6204188363151517
chained_lap_rc,132,ends,1.6227364177915864
chained_lap_rc,132,rand1,1.6556631120167815
chained_lap_rc,132,rand3,1.7551024258502566
chained_nearest,33,s1,0.44666453724825034
chained_nearest,33,s2,0.5761982350278798
chained_nearest,33,s4,0.7877820205061992
chained_nearest,33,s8,0.9584597836792941
chained_nearest,33,s16,0.9357181959428565
chained_nearest,33,s32,0.8223732641659742
chained_nearest,33,ends,0.8219022990982452
chained_nearest,33,rand1,0.9151374673312873
chained_nearest,33,rand3,0.9280606705152028
chained_nearest,66,s1,0.8217077633711876
chained_nearest,66,s2,0.9860742033345078
chained_nearest,66,s4,1.2645173779284613
chained_nearest,66,s8,1.5904935505706397
chained_nearest,66,s16,1.6582872666066244
chained_nearest,66,s32,1.5271462398614495
chained_nearest,66,s64,1.4066161907630441
chained_nearest,66,ends,1.3967898307599236
chained_nearest,66,rand1,1.493407756989956
chained_nearest,66,rand3,1.5621371984364931
chained_nearest,132,s1,1.843801370810533
chained_nearest,132,s2,2.0786355675589423
chained_nearest,132,s4,2.5921761372574195
chained_nearest,132,s8,3.3411398463948174
chained_nearest,132,s16,3.793136433779664
chained_nearest,132,s32,3.7547744196204746
chained_nearest,132,s64,3.592832325273915
chained_nearest,132,s128,3.4615799366889126
chained_nearest,132,ends,3.3824265270829685
chained_nearest,132,rand1,3.515045694139375
chained_nearest,132,rand3,3.650154652115666
chained_nearest_rc,33,s1,0.43815223590315916
chained_nearest_rc,33,s2,0.5596090844790342
chained_nearest_rc,33,s4,0.746597525996674
chained_nearest_rc,33,s8,0.8642831415832548
chained_nearest_rc,33,s16,0.8086325361529305
chained_nearest_rc,33,s32,0.6672132599514694
chained_nearest_rc,33,ends,0.6602319803079817
chained_nearest_rc,33,rand1,0.7826197292765168
chained_nearest_rc,33,rand3,0.8165256828421696
chained_nearest_rc,66,s1,0.8081382325071063
chained_nearest_rc,66,s2,0.9468901132666676
chained_nearest_rc,66,s4,1.2058442186979412
chained_nearest_rc,66,s8,1.423906174152517
chained_nearest_rc,66,s16,1.3522034514648174
chained_nearest_rc,66,s32,1.126049605211188
chained_nearest_rc,66,s64,0.9024626347062144
chained_nearest_rc,66,ends,0.8848200472711957
chained_nearest_rc,66,rand1,1.0571441528509542
chained_nearest_rc,66,rand3,1.2027896163007445
chained_nearest_rc,132,s1,1.8128900305718993
chained_nearest_rc,132,s2,1.9516863826117767
chained_nearest_rc,132,s4,2.3450796257733044
chained_nearest_rc,132,s8,2.7423736952772444
chained_nearest_rc,132,s16,2.776028654697183
chained_nearest_rc,132,s32,2.350027660405521
chained_nearest_rc,132,s64,1.933881608082696
chained_nearest_rc,132,s128,1.6730724847659595
chained_nearest_rc,132,ends,1.6424001016423175
chained_nearest_rc,132,rand1,1.8501919583085087
chained_nearest_rc,132,rand3,2.1725176692763157
nearest_anchor,33,s1,0.8219022990982452
nearest_anchor,33,s2,0.8219022990982452
nearest_anchor,33,s4,0.8219022990982452
nearest_anchor,33,s8,0.8219022990982452
nearest_anchor,33,s16,0.8219022990982452
nearest_anchor,33,s32,0.8219022990982452
nearest_anchor,33,ends,0.8219022990982452
nearest_anchor,33,rand1,0.8219022990982452
