baseline,schedule_id,depth,acc,n
chained_lap,s1,0,1.0,11
chained_lap,s1,1,0.7752702734653999,3317
chained_lap,s1,2,0.5898092287902645,35643
chained_lap,s1,3,0.4270226646514982,3606
chained_lap,s2,0,1.0,11
chained_lap,s2,1,0.7239376184713844,3317
chained_lap,s2,2,0.5179545013079403,35643
chained_lap,s2,3,0.358283379417068,3606
chained_lap,s4,0,0.9444444444444444,11
chained_lap,s4,1,0.6037660726203576,3317
chained_lap,s4,2,0.393201452616069,35643
chained_lap,s4,3,0.23168996122676733,3606
chained_lap,s8,0,0.8888888888888888,11
chained_lap,s8,1,0.4591212768200778,3317
chained_lap,s8,2,0.2509012280752806,35643
chained_lap,s8,3,0.11928984245603787,3606
chained_lap,s16,0,0.16666666666666666,11
chained_lap,s16,1,0.2969657752437559,3317
chained_lap,s16,2,0.15246327861700443,35643
chained_lap,s16,3,0.0640059438229805,3606
chained_lap,s32,0,0.0,11
chained_lap,s32,1,0.22931356550309728,3317
chained_lap,s32,2,0.12691651371321297,35643
chained_lap,s32,3,0.05172873599156719,3606
chained_lap,s64,0,0.05555555555555555,11
chained_lap,s64,1,0.2926024512144164,3317
chained_lap,s64,2,0.17555673551426065,35643
chained_lap,s64,3,0.07709343627006301,3606
chained_lap,s128,0,0.05555555555555555,11
chained_lap,s128,1,0.16249461731836,3317
chained_lap,s128,2,0.08864160493509225,35643
chained_lap,s128,3,0.028199755673154553,3606
chained_lap,ends,0,0.05555555555555555,11
chained_lap,ends,1,0.15979408803177653,3317
chained_lap,ends,2,0.08780721048323034,35643
chained_lap,ends,3,0.027921262681996618,3606
chained_lap,rand1,0,0.05555555555555555,11
chained_lap,rand1,1,0.18842422742168768,3317
chained_lap,rand1,2,0.10470338283919059,35643
chained_lap,rand1,3,0.040341712220073433,3606
chained_lap,rand3,0,0.1111111111111111,11
chained_lap,rand3,1,0.23508671051280552,3317
chained_lap,rand3,2,0.12579676199505782,35643
chained_lap,rand3,3,0.052206141560977325,3606
chained_lap_rc,s1,0,1.0,11
chained_lap_rc,s1,1,0.7811460713018558,3317
chained_lap_rc,s1,2,0.6055491083598403,35643
chained_lap_rc,s1,3,0.4338183773420913,3606
chained_lap_rc,s2,0,1.0,11
chained_lap_rc,s2,1,0.7455500747364915,3317
chained_lap_rc,s2,2,0.547606406739975,35643
chained_lap_rc,s2,3,0.36624881657284314,3606
chained_lap_rc,s4,0,0.8888888888888888,11
chained_lap_rc,s4,1,0.6680273446661174,3317
chained_lap_rc,s4,2,0.4406168689561739,35643
chained_lap_rc,s4,3,0.24799432189518908,3606
chained_lap_rc,s8,0,0.6666666666666666,11
chained_lap_rc,s8,1,0.5335032838447027,3317
chained_lap_rc,s8,2,0.295521500221536,35643
chained_lap_rc,s8,3,0.12814864424660408,3606
chained_lap_rc,s16,0,0.05555555555555555,11
chained_lap_rc,s16,1,0.39029140634803466,3317
chained_lap_rc,s16,2,0.1811957758691143,35643
chained_lap_rc,s16,3,0.05802604863890456,3606
chained_lap_rc,s32,0,0.3055555555555556,11
chained_lap_rc,s32,1,0.30591443334571233,3317
chained_lap_rc,s32,2,0.1452209667590531,35643
chained_lap_rc,s32,3,0.04737346918215601,3606
chained_lap_rc,s64,0,0.0,11
chained_lap_rc,s64,1,0.2987301932122644,3317
chained_lap_rc,s64,2,0.1454057808296884,35643
chained_lap_rc,s64,3,0.048093462574141585,3606
chained_lap_rc,s128,0,0.0,11
chained_lap_rc,s128,1,0.2869139809117813,3317
chained_lap_rc,s128,2,0.14476279872959957,35643
chained_lap_rc,s128,3,0.04704700560978003,3606
chained_lap_rc,ends,0,0.0,11
chained_lap_rc,ends,1,0.2832938362179306,3317
chained_lap_rc,ends,2,0.14228406124803855,35643
chained_lap_rc,ends,3,0.046833502646730876,3606
chained_lap_rc,rand1,0,0.0,11
chained_lap_rc,rand1,1,0.29253409293216404,3317
chained_lap_rc,rand1,2,0.1410467518303683,35643
chained_lap_rc,rand1,3,0.047726869970619236,3606
chained_lap_rc,rand3,0,0.0,11
chained_lap_rc,rand3,1,0.3131016842311589,3317
chained_lap_rc,rand3,2,0.14331948503273706,35643
chained_lap_rc,rand3,3,0.04739416591566835,3606
chained_nearest,s1,0,1.0,11
chained_nearest,s1,1,0.7587413779718936,3317
chained_nearest,s1,2,0.5645587073816672,35643
chained_nearest,s1,3,0.39407050478071126,3606
chained_nearest,s2,0,1.0,11
chained_nearest,s2,1,0.6965943119559634,3317
chained_nearest,s2,2,0.4814724667861386,35643
chained_nearest,s2,3,0.3113999150452808,3606
chained_nearest,s4,0,0.9444444444444444,11
chained_nearest,s4,1,0.5567074542243428,3317
chained_nearest,s4,2,0.34755484474367326,35643
chained_nearest,s4,3,0.19096120250736065,3606
chained_nearest,s8,0,0.8888888888888888,11
chained_nearest,s8,1,0.4120004194066798,3317
chained_nearest,s8,2,0.21946426182285456,35643
chained_nearest,s8,3,0.10494609272696209,3606
chained_nearest,s16,0,0.16666666666666666,11
chained_nearest,s16,1,0.26935740851435097,3317
chained_nearest,s16,2,0.13940883942937046,35643
chained_nearest,s16,3,0.06231012905549947,3606
chained_nearest,s32,0,0.0,11
chained_nearest,s32,1,0.1944794653033152,3317
chained_nearest,s32,2,0.10636955212988175,35643
chained_nearest,s32,3,0.03962816946534807,3606
chained_nearest,s64,0,0.05555555555555555,11
chained_nearest,s64,1,0.1644141788452,3317
chained_nearest,s64,2,0.09851295913687262,35643
chained_nearest,s64,3,0.03592418095321452,3606
chained_nearest,s128,0,0.05555555555555555,11
chained_nearest,s128,1,0.16767704579629344,3317
chained_nearest,s128,2,0.09587376804852586,35643
chained_nearest,s128,3,0.03842764390709131,3606
chained_nearest,ends,0,0.05555555555555555,11
chained_nearest,ends,1,0.16420020049332157,3317
chained_nearest,ends,2,0.09414023882558371,35643
chained_nearest,ends,3,0.03571142157148241,3606
chained_nearest,rand1,0,0.05555555555555555,11
