dataset,horizon_frames,horizon_min,cycles,acc,n_scored,n_seq
hela,1,30.0,0.02631578947368421,0.9938270877497588,1690,2
hela,2,60.0,0.05263157894736842,0.992208187641658,1706,2
hela,4,120.0,0.10526315789473684,0.9810064258642177,1742,2
hela,8,240.0,0.21052631578947367,0.9449021627248274,1784,2
hela,16,480.0,0.42105263157894735,0.8711170338581139,1392,2
hela,32,960.0,0.8421052631578947,0.7279893911325899,1550,2
hela,64,1920.0,1.6842105263157894,0.5997269973689165,802,2
hsc,1,5.0,0.0020920502092050207,0.9882605820105821,280,2
hsc,2,10.0,0.0041841004184100415,0.9528819784969671,281,2
hsc,4,20.0,0.008368200836820083,0.7871534966643663,282,2
hsc,8,40.0,0.016736401673640166,0.6535297331492984,282,2
hsc,16,80.0,0.03347280334728033,0.42672212047212044,287,2
hsc,32,160.0,0.06694560669456066,0.33743402015460844,304,2
hsc,64,320.0,0.13389121338912133,0.17509440577522145,335,2
hsc,128,640.0,0.26778242677824265,0.19390151515151516,213,2
hsc,256,1280.0,0.5355648535564853,0.13545482295482295,271,2
hsc,512,2560.0,1.0711297071129706,0.08378310552223595,266,2
hsc,1024,5120.0,2.1422594142259412,0.20113475177304965,216,1
musc,1,5.0,0.00909090909090909,0.9481090128359035,151,2
musc,2,10.0,0.01818181818181818,0.9151465971003786,151,2
musc,4,20.0,0.03636363636363636,0.8591645446057212,156,2
musc,8,40.0,0.07272727272727272,0.6822148173463963,160,2
musc,16,80.0,0.14545454545454545,0.551600782258677,163,2
musc,32,160.0,0.2909090909090909,0.4428567507371855,167,2
musc,64,320.0,0.5818181818181818,0.30161989569884307,144,2
musc,128,640.0,1.1636363636363636,0.22272375457359977,126,2
musc,256,1280.0,2.327272727272727,0.18893151463483943,75,2
one_in_a_million,1,1.0,0.015151515151515152,0.994285520709516,41604,5
one_in_a_million,2,2.0,0.030303030303030304,0.9774839610862107,41811,5
one_in_a_million,4,4.0,0.06060606060606061,0.9306863516635836,40790,5
one_in_a_million,8,8.0,0.12121212121212122,0.8362409772876609,41655,5
one_in_a_million,16,16.0,0.24242424242424243,0.6749989157985419,43480,5
one_in_a_million,32,32.0,0.48484848484848486,0.5043392960370091,42577,5
one_in_a_million,64,64.0,0.9696969696969697,0.3567600360907134,42285,5
one_in_a_million,128,128.0,1.9393939393939394,0.2632880517577105,43138,5
one_in_a_million,256,256.0,3.878787878787879,0.25383820469070895,41519,5
sim_plus,1,29.0,0.017543859649122806,1.0,261,2
sim_plus,2,58.0,0.03508771929824561,1.0,261,2
sim_plus,4,116.0,0.07017543859649122,1.0,262,2
sim_plus,8,232.0,0.14035087719298245,0.9962121212121213,262,2
sim_plus,16,464.0,0.2807017543859649,0.9890818858560795,173,2
sim_plus,32,928.0,0.5614035087719298,0.9628571428571429,216,2
sim_plus,64,1856.0,1.1228070175438596,0.8535724548440066,159,2
sim_plus,128,3712.0,2.245614035087719,0.8214285714285714,28,1
