baseline,dataset,horizon_frames,horizon_min,cycles,acc,n_scored,n_seq
chained_lap,hela,1,30.0,0.02631578947368421,0.997691417682653,1690,2
chained_lap,hela,2,60.0,0.05263157894736842,0.9971216667803313,1706,2
chained_lap,hela,4,120.0,0.10526315789473684,0.9867282122391174,1742,2
chained_lap,hela,8,240.0,0.21052631578947367,0.9554755054595265,1784,2
chained_lap,hela,16,480.0,0.42105263157894735,0.8940096302371796,1392,2
chained_lap,hela,32,960.0,0.8421052631578947,0.6956120537133632,1550,2
chained_lap,hela,64,1920.0,1.6842105263157894,0.5816348921057588,802,2
chained_lap,hsc,1,5.0,0.0020920502092050207,1.0,280,2
chained_lap,hsc,2,10.0,0.0041841004184100415,0.9748188405797102,281,2
chained_lap,hsc,4,20.0,0.008368200836820083,0.8601132965263399,282,2
chained_lap,hsc,8,40.0,0.016736401673640166,0.6972049689440993,282,2
chained_lap,hsc,16,80.0,0.03347280334728033,0.5021316646316646,287,2
chained_lap,hsc,32,160.0,0.06694560669456066,0.41165646165646164,304,2
chained_lap,hsc,64,320.0,0.13389121338912133,0.1722308282469026,335,2
chained_lap,hsc,128,640.0,0.26778242677824265,0.22333333333333333,213,2
chained_lap,hsc,256,1280.0,0.5355648535564853,0.13964285714285712,271,2
chained_lap,hsc,512,2560.0,1.0711297071129706,0.08378310552223595,266,2
chained_lap,hsc,1024,5120.0,2.1422594142259412,0.20113475177304965,216,1
chained_lap,musc,1,5.0,0.00909090909090909,0.9873076923076922,151,2
chained_lap,musc,2,10.0,0.01818181818181818,0.9873076923076922,151,2
chained_lap,musc,4,20.0,0.03636363636363636,0.9041774891774892,156,2
chained_lap,musc,8,40.0,0.07272727272727272,0.7670929216981848,160,2
chained_lap,musc,16,80.0,0.14545454545454545,0.5849882281461228,163,2
chained_lap,musc,32,160.0,0.2909090909090909,0.41559807058528286,167,2
chained_lap,musc,64,320.0,0.5818181818181818,0.3094437482595377,144,2
chained_lap,musc,128,640.0,1.1636363636363636,0.21389400975701284,126,2
chained_lap,musc,256,1280.0,2.327272727272727,0.21948707019039498,75,2
chained_lap,one_in_a_million,1,1.0,0.015151515151515152,0.9949532374083908,41604,5
chained_lap,one_in_a_million,2,2.0,0.030303030303030304,0.9820960510225468,41811,5
chained_lap,one_in_a_million,4,4.0,0.06060606060606061,0.9390617283639928,40790,5
chained_lap,one_in_a_million,8,8.0,0.12121212121212122,0.8560794218880379,41655,5
chained_lap,one_in_a_million,16,16.0,0.24242424242424243,0.7026701394363359,43480,5
chained_lap,one_in_a_million,32,32.0,0.48484848484848486,0.5625572477964956,42577,5
chained_lap,one_in_a_million,64,64.0,0.9696969696969697,0.5006367662540854,42285,5
chained_lap,one_in_a_million,128,128.0,1.9393939393939394,0.26052796620632274,43138,5
chained_lap,one_in_a_million,256,256.0,3.878787878787879,0.25383820469070895,41519,5
chained_lap,sim_plus,1,29.0,0.017543859649122806,1.0,261,2
chained_lap,sim_plus,2,58.0,0.03508771929824561,1.0,261,2
chained_lap,sim_plus,4,116.0,0.07017543859649122,1.0,262,2
chained_lap,sim_plus,8,232.0,0.14035087719298245,0.9962121212121213,262,2
chained_lap,sim_plus,16,464.0,0.2807017543859649,0.9923076923076923,173,2
chained_lap,sim_plus,32,928.0,0.5614035087719298,0.9463333333333334,216,2
chained_lap,sim_plus,64,1856.0,1.1228070175438596,0.7553581691297209,159,2
chained_lap,sim_plus,128,3712.0,2.245614035087719,0.8214285714285714,28,1
chained_lap_rc,hela,1,30.0,0.02631578947368421,0.9965160907119921,1690,2
chained_lap_rc,hela,2,60.0,0.05263157894736842,0.9930894087158154,1706,2
chained_lap_rc,hela,4,120.0,0.10526315789473684,0.9517119256332676,1742,2
chained_lap_rc,hela,8,240.0,0.21052631578947367,0.8755525038541996,1784,2
chained_lap_rc,hela,16,480.0,0.42105263157894735,0.7611914699584963,1392,2
chained_lap_rc,hela,32,960.0,0.8421052631578947,0.6640137855145132,1550,2
chained_lap_rc,hela,64,1920.0,1.6842105263157894,0.48368740175708946,802,2
chained_lap_rc,hsc,1,5.0,0.0020920502092050207,1.0,280,2
chained_lap_rc,hsc,2,10.0,0.0041841004184100415,0.976268115942029,281,2
chained_lap_rc,hsc,4,20.0,0.008368200836820083,0.8535915573959052,282,2
chained_lap_rc,hsc,8,40.0,0.016736401673640166,0.6987146307798482,282,2
chained_lap_rc,hsc,16,80.0,0.03347280334728033,0.5270426332926333,287,2
chained_lap_rc,hsc,32,160.0,0.06694560669456066,0.3883025978614214,304,2
chained_lap_rc,hsc,64,320.0,0.13389121338912133,0.30153552255678945,335,2
chained_lap_rc,hsc,128,640.0,0.26778242677824265,0.1778030303030303,213,2
chained_lap_rc,hsc,256,1280.0,0.5355648535564853,0.14139499389499388,271,2
chained_lap_rc,hsc,512,2560.0,1.0711297071129706,0.1027404098056272,266,2
chained_lap_rc,hsc,1024,5120.0,2.1422594142259412,0.10695035460992908,216,1
chained_lap_rc,musc,1,5.0,0.00909090909090909,0.9873076923076922,151,2
chained_lap_rc,musc,2,10.0,0.01818181818181818,0.9873076923076922,151,2
chained_lap_rc,musc,4,20.0,0.03636363636363636,0.9087229437229438,156,2
chained_lap_rc,musc,8,40.0,0.07272727272727272,0.7787812333864965,160,2
chained_lap_rc,musc,16,80.0,0.14545454545454545,0.572560378218273,163,2
chained_lap_rc,musc,32,160.0,0.2909090909090909,0.4073241780243059,167,2
chained_lap_rc,musc,64,320.0,0.5818181818181818,0.2996240601503759,144,2
chained_lap_rc,musc,128,640.0,1.1636363636363636,0.23036459799230696,126,2
chained_lap_rc,musc,256,1280.0,2.327272727272727,0.16489769820971867,75,2
chained_lap_rc,one_in_a_million,1,1.0,0.015151515151515152,0.9949386454824456,41604,5
chained_lap_rc,one_in_a_million,2,2.0,0.030303030303030304,0.9825903906232485,41811,5
chained_lap_rc,one_in_a_million,4,4.0,0.06060606060606061,0.9461819270060534,40790,5
chained_lap_rc,one_in_a_million,8,8.0,0.12121212121212122,0.876313067280394,41655,5
chained_lap_rc,one_in_a_million,16,16.0,0.24242424242424243,0.7334631520702206,43480,5
chained_lap_rc,one_in_a_million,32,32.0,0.48484848484848486,0.6024084154836086,42577,5
chained_lap_rc,one_in_a_million,64,64.0,0.9696969696969697,0.49344666519269226,42285,5
chained_lap_rc,one_in_a_million,128,128.0,1.9393939393939394,0.36141966680567184,43138,5
chained_lap_rc,one_in_a_million,256,256.0,3.878787878787879,0.31901279046452014,41519,5
chained_lap_rc,sim_plus,1,29.0,0.017543859649122806,0.9935897435897436,261,2
chained_lap_rc,sim_plus,2,58.0,0.03508771929824561,0.9918536324786325,261,2
chained_lap_rc,sim_plus,4,116.0,0.07017543859649122,0.991955756661639,262,2
chained_lap_rc,sim_plus,8,232.0,0.14035087719298245,0.9865967365967367,262,2
chained_lap_rc,sim_plus,16,464.0,0.2807017543859649,0.9387362637362637,173,2
chained_lap_rc,sim_plus,32,928.0,0.5614035087719298,0.8469047619047618,216,2
chained_lap_rc,sim_plus,64,1856.0,1.1228070175438596,0.6456013957307061,159,2
chained_lap_rc,sim_plus,128,3712.0,2.245614035087719,0.7142857142857143,28,1
chained_nearest,hela,1,30.0,0.02631578947368421,0.9938270877497588,1690,2
chained_nearest,hela,2,60.0,0.05263157894736842,0.992208187641658,1706,2
chained_nearest,hela,4,120.0,0.10526315789473684,0.9810064258642177,1742,2
chained_nearest,hela,8,240.0,0.21052631578947367,0.9449021627248274,1784,2
chained_nearest,hela,16,480.0,0.42105263157894735,0.8711170338581139,1392,2
chained_nearest,hela,32,960.0,0.8421052631578947,0.7279893911325899,1550,2
chained_nearest,hela,64,1920.0,1.6842105263157894,0.5997269973689165,802,2
chained_nearest,hsc,1,5.0,0.0020920502092050207,0.9882605820105821,280,2
chained_nearest,hsc,2,10.0,0.0041841004184100415,0.9528819784969671,281,2
chained_nearest,hsc,4,20.0,0.008368200836820083,0.7871534966643663,282,2
chained_nearest,hsc,8,40.0,0.016736401673640166,0.6535297331492984,282,2
chained_nearest,hsc,16,80.0,0.03347280334728033,0.42672212047212044,287,2
chained_nearest,hsc,32,160.0,0.06694560669456066,0.33743402015460844,304,2
chained_nearest,hsc,64,320.0,0.13389121338912133,0.17509440577522145,335,2
