dataset,split,horizon_frames,horizon_min,windows,anchors_per_window,targets,unresolved,outside_foi,depth0_%,depth1_%,depth2_%,depth3+_%,sibling_pairs
hela,domain_adapt,19,570.0,4,76.2,387,14,6,57.6,42.4,0.0,0.0,161
hela,domain_adapt,38,1140.0,3,63.0,323,20,6,18.5,78.2,3.3,0.0,139
hela,domain_adapt,76,2280.0,1,43.0,125,12,2,1.8,23.9,72.6,1.8,53
hela,domain_test,19,570.0,4,230.5,1149,84,13,63.1,36.7,0.2,0.0,426
hela,domain_test,38,1140.0,3,197.7,954,115,9,30.0,62.6,7.4,0.0,372
hela,domain_test,76,2280.0,1,125.0,352,74,3,4.3,34.2,60.8,0.7,135
hsc,domain_adapt,239,1195.0,2,8.0,20,0,0,60.0,40.0,0.0,0.0,10
hsc,domain_adapt,478,2390.0,1,8.0,12,0,0,33.3,66.7,0.0,0.0,6
hsc,domain_test,239,1195.0,5,27.6,244,0,0,13.9,84.4,1.6,0.0,118
hsc,domain_test,478,2390.0,4,18.8,232,0,0,0.4,28.9,69.0,1.7,112
hsc,domain_test,956,4780.0,2,10.0,177,0,0,0.0,0.0,4.5,95.5,85
musc,domain_adapt,55,275.0,4,12.0,61,1,0,56.7,43.3,0.0,0.0,22
musc,domain_adapt,110,550.0,3,10.3,52,0,0,19.2,76.9,3.8,0.0,19
musc,domain_adapt,220,1100.0,1,8.0,21,0,0,0.0,52.4,47.6,0.0,5
musc,domain_test,55,275.0,6,11.0,76,0,0,73.7,26.3,0.0,0.0,34
musc,domain_test,110,550.0,5,10.2,67,0,0,52.2,47.8,0.0,0.0,30
musc,domain_test,220,1100.0,3,9.0,47,0,0,23.4,59.6,17.0,0.0,20
one_in_a_million,test,33,33.0,19,311.4,7319,12,0,41.6,58.4,0.0,0.0,3450
one_in_a_million,test,66,66.0,18,256.4,7311,24,0,3.7,88.5,7.7,0.0,3446
one_in_a_million,test,132,132.0,16,161.4,7284,33,0,0.0,6.5,85.0,8.5,3433
one_in_a_million,train,33,33.0,61,368.8,26955,15,0,41.6,58.4,0.0,0.0,12691
one_in_a_million,train,66,66.0,58,314.2,26930,17,0,4.2,88.5,7.4,0.0,12679
one_in_a_million,train,132,132.0,52,209.3,26842,17,0,0.0,8.1,83.4,8.5,12638
one_in_a_million,validation,33,33.0,20,354.8,8573,14,0,41.5,58.5,0.0,0.0,4037
one_in_a_million,validation,66,66.0,19,301.9,8561,18,0,4.1,88.8,7.1,0.0,4031
one_in_a_million,validation,132,132.0,17,204.5,8530,29,0,0.0,8.0,83.6,8.4,4016
sim_plus,sanity,28,812.0,7,23.6,218,9,0,44.0,56.0,0.0,0.0,83
sim_plus,sanity,57,1653.0,5,17.8,166,12,0,4.5,90.3,5.2,0.0,68
sim_plus,sanity,114,3306.0,2,10.0,80,9,0,0.0,4.2,87.3,8.5,35
